frame,arm,activity,depth,cube_size,pushing_power,size_reduction,size_reduction_component,combined_reward
1,0,1.00,0,1,1.00,0.00,0.00,0.60
2,1,1.60,0,2,1.00,0.00,0.00,0.60
1,2,1.00,2,1,3.00,0.00,0.00,1.80
4,2,1.22,2,2,1.00,0.00,0.00,0.60
4,2,1.36,1,2,1.00,0.00,0.00,0.60
1,2,1.00,6,1,5.00,0.00,0.00,3.00
7,2,1.05,6,2,1.00,0.00,0.00,0.60
7,2,1.08,5,3,1.00,1.00,0.40,1.00
7,2,1.22,3,2,1.00,0.00,0.00,0.60
6,2,1.00,8,3,1.00,0.00,0.00,0.60
1,2,1.00,14,1,8.00,0.00,0.00,4.80
11,2,1.01,14,2,1.00,0.00,0.00,0.60
11,2,1.01,13,3,1.00,1.00,0.40,1.00
11,2,1.03,11,2,1.00,0.00,0.00,0.60
11,2,1.13,7,2,1.00,0.00,0.00,0.60
10,2,1.00,16,3,1.00,0.00,0.00,0.60
11,2,1.60,16,4,1.00,0.00,0.00,0.60
11,2,2.00,15,1,2.00,0.00,0.00,1.20
10,2,1.00,18,3,1.00,0.00,0.00,0.60
9,2,1.00,20,3,1.00,0.00,0.00,0.60
8,2,1.00,22,2,1.00,0.00,0.00,0.60
1,2,1.00,30,1,12.00,0.00,0.00,7.20
14,2,1.00,30,2,1.00,0.00,0.00,0.60
14,2,1.00,29,3,1.00,1.00,0.40,1.00
14,2,1.01,27,2,1.00,0.00,0.00,0.60
14,2,1.05,23,2,1.00,0.00,0.00,0.60
14,2,1.43,15,2,1.00,0.00,0.00,0.60
13,2,1.00,32,2,1.00,0.00,0.00,0.60
13,2,1.00,33,2,2.00,0.00,0.00,1.20
14,2,2.00,31,1,2.00,0.00,0.00,1.20
15,2,1.36,33,3,1.00,0.00,0.00,0.60
16,2,1.82,33,4,1.00,0.00,0.00,0.60
16,2,1.00,34,4,1.00,0.00,0.00,0.60
15,2,1.00,36,3,1.00,0.00,0.00,0.60
15,2,1.00,37,3,2.00,0.00,0.00,1.20
16,2,2.00,35,4,2.00,1.00,0.40,1.60
13,2,1.00,41,2,2.00,0.00,0.00,1.20
15,2,1.36,41,3,1.00,0.00,0.00,0.60
15,2,2.00,39,2,2.00,0.00,0.00,1.20
